"demanda_id","client_id","id_legado","titulo","natureza","data_abertura","status_interno","vinculada","vinculo","quadro","area_cxhub","status_cxhub","prioridade","tipo","criador","responsavel","motivo_bloqueio","rfi_id","destino_area","arquivo"
"D-2025-010","baw","UMD-755","Desativar relatórios","casa-cliente","03/11/2025","Concluída","Sim","CX Hub — ID: UMD-755","Operação","Sem Área","Concluído","","Relatório","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-010.md"
"D-2026-001","baw","UMD-921","Material não foi criado novamente após reativação","casa-cliente","19/01/2026","Concluída","Sim","CX Hub — ID: UMD-921","Operação","Sem Área","Concluído","","Integração","Ana Paula Ramos","","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-001.md"
"D-2026-002","baw","UMD-954","Materiais não integraram","casa-cliente","27/01/2026","Concluída","Sim","CX Hub — ID: UMD-954","Tech","Suporte Tech","Concluído","","Integração","Ana Paula Ramos","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-002.md"
"D-2026-003","baw","UMD-963","Relatório de Gestão de Coleção BAW","casa-cliente","02/02/2026","Concluída","Sim","CX Hub — ID: UMD-963","Operação","Sem Área","Concluído","","Relatório","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-003.md"
"D-2026-004","baw","UMD-989","Acesso liberado para edição, mas não funciona","casa-cliente","11/02/2026","Concluída","Sim","CX Hub — ID: UMD-989","Operação","Sem Área","Concluído","","Bug","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-004.md"
"D-2026-005","baw","UMD-1034","Materiais não integraram","casa-cliente","02/03/2026","Concluída","Sim","CX Hub — ID: UMD-1034","Tech","Suporte Tech","Concluído","","Integração","Ana Paula Ramos","","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-005.md"
"D-2026-006","baw","UMD-1068","Exportar Tabela de Medidas em Massa","casa-cliente","09/03/2026","Concluída","Sim","CX Hub — ID: UMD-1068","Operação","Sem Área","Cancelado","","Suporte","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-006.md"
"D-2026-007","baw","UMD-1221","Produtos novos que não estão integrando","casa-cliente","23/04/2026","Concluída","Sim","CX Hub — ID: UMD-1221","Tech","Suporte Tech","Concluído","","Integração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-007.md"
"D-2026-008","baw","UMD-1229","Criar Perfil e usuário para o novo Fornecedor BAW -  Eczoz","casa-cliente","27/04/2026","Concluída","Sim","CX Hub — ID: UMD-1229","","","Concluído","","Configuração","Laura Delgado","","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2026-008.md"
"D-2025-001","caedu","UMD-125","Inativar fornecedores que não são de produtos de moda.","casa-cliente","30/04/2025","Concluída","Sim","CX Hub — ID: UMD-125","Operação","Sem Área","Concluído","Média","Configuração","Julianne Rodrigues","Julianne Rodrigues","Outra — valor legado do Notion: ""Aguardando Recurso Especial""","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-001.md"
"D-2025-002","caedu","UMD-177","Atualizar /preencher fichas com base em uma ficha base de forma automática.","casa-cliente","16/05/2025","Concluída","Sim","CX Hub — ID: UMD-177","Operação","Produto | Inovação","Backlog","","Melhoria","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-002.md"
"D-2025-003","caedu","UMD-187","Criar hierarquia Griffe>linha :grupo e subgrupo","casa-cliente","25/05/2025","Concluída","Sim","CX Hub — ID: UMD-187","Operação","Sem Área","Backlog","","Configuração","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-003.md"
"D-2025-004","caedu","UMD-176","Relatórios para a diretoria: R1: Status Entrada x Griffe x Linha; R2: Visão por Campanh…","casa-cliente","25/05/2025","Concluída","Sim","CX Hub — ID: UMD-176","Tech","Suporte Tech","Concluído","","Relatório","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-004.md"
"D-2025-005","caedu","UMD-197","Subir calendário na uMode","casa-cliente","02/07/2025","Concluída","Sim","CX Hub — ID: UMD-197","Tech","Suporte Tech","Backlog","","Suporte","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-005.md"
"D-2025-006","caedu","UMD-141","Adicionar novos campos a planilha de sortimento e a ao template de ficha","casa-cliente","02/07/2025","Concluída","Sim","CX Hub — ID: UMD-141","Operação","Sem Área","Concluído","","Configuração","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-006.md"
"D-2025-007","caedu","UMD-139","Excluir campo Programa ; validações e tudo relacionado a ele após realinhamento com a d…","casa-cliente","03/07/2025","Concluída","Sim","CX Hub — ID: UMD-139","Operação","Sem Área","Concluído","","Configuração","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-007.md"
"D-2025-008","caedu","UMD-142","Mapa B2B estava gerando agrupamento coleção>linha e agora apenas por coleção. Acredito…","casa-cliente","03/07/2025","Concluída","Sim","CX Hub — ID: UMD-142","Operação","Sem Área","Concluído","","Suporte","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-008.md"
"D-2025-009","caedu","UMD-145","Podemos desenvolver uma forma de dar devolutivas  de possíveis erros de integração pra…","casa-cliente","04/07/2025","Concluída","Sim","CX Hub — ID: UMD-145","Tech","Suporte Tech","Backlog","","Melhoria","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-009.md"
"D-2025-010","caedu","UMD-149","Ajustar validação linx: incluir campos, excluir campos e status finalizado","casa-cliente","08/07/2025","Concluída","Sim","CX Hub — ID: UMD-149","Operação","Sem Área","Concluído","","Configuração","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-010.md"
"D-2025-011","caedu","UMD-648","Mudança de regra descrição da variante","casa-cliente","08/10/2025","Concluída","Sim","CX Hub — ID: UMD-648","Operação","Sem Área","Cancelado","","Suporte","Julianne Rodrigues","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-011.md"
"D-2025-012","caedu","UMD-710","Referências geradas incorretamente","casa-cliente","21/10/2025","Concluída","Sim","CX Hub — ID: UMD-710","Operação","Sem Área","Cancelado","","Bug","Ana Paula Ramos","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-012.md"
"D-2025-013","caedu","UMD-715","Revisar listas dos campos custom evento, custom - tipo_de_produto, custom - tipo","casa-cliente","22/10/2025","Concluída","Sim","CX Hub — ID: UMD-715","Operação","Sem Área","Cancelado","","Suporte","Julianne Rodrigues","","Aguardando Cliente","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-013.md"
"D-2025-014","caedu","UMD-797","Erro: Nos perfil dos fornecedores não aparecem as pastinhas das coleções associadas a ele","casa-cliente","12/11/2025","Concluída","Sim","CX Hub — ID: UMD-797","Operação","Sem Área","Concluído","Alta","Configuração","Julianne Rodrigues","Julianne Rodrigues, Pedro Murillo","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2025-014.md"
"D-2026-001","caedu","UMD-944","Acrescentar campos na aba de importação e revisar listas conforme obs do cliente","casa-cliente","23/01/2026","Concluída","Sim","CX Hub — ID: UMD-944","Operação","Operação | KA","Concluído","","Configuração","Julianne Rodrigues","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-001.md"
"D-2026-002","caedu","UMD-971","Exportar listas dos campos grupo/subgrupo , linha","casa-cliente","05/02/2026","Concluída","Sim","CX Hub — ID: UMD-971","","","Concluído","","Suporte","Julianne Rodrigues","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-002.md"
"D-2026-003","caedu","UMD-985","Atualizar produtos","casa-cliente","10/02/2026","Concluída","Sim","CX Hub — ID: UMD-985","Tech","Suporte Tech","Concluído","","Integração","Ana Paula Ramos","","","RFI-2026-002","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-003.md"
"D-2026-004","caedu","UMD-1038","Atualizar opções em listas de campo com hierarquia (personagem e licenciado) e pantone","casa-cliente","02/03/2026","Concluída","Sim","CX Hub — ID: UMD-1038","Operação","Sem Área","Concluído","","Configuração","Julianne Rodrigues","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-004.md"
"D-2026-005","caedu","UMD-1127","Sequencia ajustes de griffe, linha, grupo e subgrupo (Parte 2) [RFI 65]","casa-cliente","05/03/2026","Concluída","Sim","CX Hub — ID: UMD-1127","Tech","Suporte Tech","Backlog","","Integração","Marina Santoro","","Aguardando Decisão","RFI-2026-002","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-005.md"
"D-2026-006","caedu","UMD-1074","Inativar opções em lista do campo NCM","casa-cliente","05/03/2026","Concluída","Sim","CX Hub — ID: UMD-1074","Operação","Sem Área","Concluído","","Suporte","Julianne Rodrigues","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-006.md"
"D-2026-007","caedu","UMD-1082","Produtos perenes: possibilidade de ter 2 ou mais em coleções diferentes com a mesma ref","casa-cliente","12/03/2026","Concluída","Sim","CX Hub — ID: UMD-1082","Operação","Produto | Inovação","Backlog","","Melhoria","Julianne Rodrigues","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-007.md"
"D-2026-008","caedu","UMD-1133","Produto não integra para o Linx","casa-cliente","24/03/2026","Concluída","Sim","CX Hub — ID: UMD-1133","","","Concluído","","Integração","Pedro Murillo","Pedro Murillo, Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-008.md"
"D-2026-009","caedu","UMD-1075","Acrescentar opções a lista do campo esqueleto e incluir ele na validação Linx","casa-cliente","25/03/2026","Concluída","Sim","CX Hub — ID: UMD-1075","Operação","Sem Área","Concluído","","Suporte","Julianne Rodrigues","Julianne Rodrigues","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-009.md"
"D-2026-010","caedu","UMD-1216","Acrescentar campos na aba de Packs e levar para os templates de impressão : “Pré pedido…","casa-cliente","15/04/2026","Concluída","Sim","CX Hub — ID: UMD-1216","Operação","Sem Área","A fazer","","Suporte","Julianne Rodrigues","","","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-010.md"
"D-2026-011","caedu","UMD-1207","Desenvolver API de imagens","casa-cliente","20/04/2026","Concluída","Sim","CX Hub — ID: UMD-1207","Tech","Suporte Tech","Backlog","","Integração","Julianne Rodrigues","Pedro Murillo, Julianne Rodrigues","Aguardando Decisão","RFI-2026-003","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-011.md"
"D-2026-012","caedu","UMD-1234","Ref linx diferente da ref caedu","casa-cliente","28/04/2026","Concluída","Sim","CX Hub — ID: UMD-1234","Operação","Sem Área","Backlog","","Suporte","Julianne Rodrigues","","Aguardando Cliente","","","uMode/_Clientes/Caedu/00_Institucional/_demandas/D-2026-012.md"
"D-2025-001","cambos","UMD-39","Ajustar ordem dos campos na ficha","casa-cliente","31/01/2025","Concluída","Sim","CX Hub — ID: UMD-39","","","Concluído","","Suporte","Marina Santoro","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-001.md"
"D-2025-002","cambos","UMD-38","Atualizar lista dos campos","casa-cliente","31/01/2025","Concluída","Sim","CX Hub — ID: UMD-38","","","Concluído","","Suporte","Marina Santoro","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-002.md"
"D-2025-003","cambos","UMD-45","Automatizar o preenchimento do fornecedor para Cambos - padrão para todos os produtos","casa-cliente","04/02/2025","Concluída","Sim","CX Hub — ID: UMD-45","","","Concluído","","Melhoria","Marina Santoro","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-003.md"
"D-2025-004","cambos","UMD-123","Criar Aprovação automatica Cambos","casa-cliente","04/02/2025","Concluída","Sim","CX Hub — ID: UMD-123","","","Concluído","","Melhoria","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-004.md"
"D-2025-005","cambos","UMD-42","Ajustes da ficha de produto","casa-cliente","04/02/2025","Concluída","Sim","CX Hub — ID: UMD-42","","","Concluído","","Suporte","Marina Santoro","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-005.md"
"D-2025-006","cambos","UMD-43","Ficha de impressão","casa-cliente","04/02/2025","Concluída","Sim","CX Hub — ID: UMD-43","","","Concluído","","Configuração","Marina Santoro","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-006.md"
"D-2025-007","cambos","UMD-50","Desejo de no Workflow ter a opção “mover para etapa x”","casa-cliente","25/02/2025","Concluída","Sim","CX Hub — ID: UMD-50","Operação","Produto | Inovação","Backlog","","Produto","Marina Santoro","","Aguardando Decisão","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-007.md"
"D-2025-008","cambos","UMD-134","Tabela de Medidas","casa-cliente","22/04/2025","Concluída","Sim","CX Hub — ID: UMD-134","Operação","Operação | KA","Cancelado","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-008.md"
"D-2025-009","cambos","UMD-112","Relatório base de Gestão de Produto","casa-cliente","16/05/2025","Concluída","Sim","CX Hub — ID: UMD-112","Tech","Suporte Tech","Concluído","","Relatório","Marina Santoro","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-009.md"
"D-2025-010","cambos","UMD-119","Filtro salvos (exibição) no mapa com muitos erros","casa-cliente","16/05/2025","Concluída","Sim","CX Hub — ID: UMD-119","Operação","Produto | Inovação","Backlog","","Produto","Marina Santoro","","Aguardando Decisão","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-010.md"
"D-2025-011","cambos","UMD-136","Inclusão de campos naformação da descrição do produto","casa-cliente","29/05/2025","Concluída","Sim","CX Hub — ID: UMD-136","","","Concluído","","Configuração","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-011.md"
"D-2025-012","cambos","UMD-137","Ajuste da Aba Aprovações das Pilotos","casa-cliente","01/07/2025","Concluída","Sim","CX Hub — ID: UMD-137","","","Concluído","","Configuração","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-012.md"
"D-2025-013","cambos","UMD-148","Relatório Gestão de Aprovações","casa-cliente","10/07/2025","Concluída","Sim","CX Hub — ID: UMD-148","Tech","Suporte Tech","Concluído","","Relatório","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-013.md"
"D-2025-014","cambos","UMD-135","Controle de Produto mãe","casa-cliente","16/07/2025","Concluída","Sim","CX Hub — ID: UMD-135","","","Concluído","","Configuração","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-014.md"
"D-2025-015","cambos","UMD-166","Relatório Tarefas","casa-cliente","23/07/2025","Concluída","Sim","CX Hub — ID: UMD-166","Tech","Suporte Tech","Concluído","","Relatório","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-015.md"
"D-2025-016","cambos","UMD-178","Alterar as Modelagens das Fichas para o novo modelo","casa-cliente","24/07/2025","Concluída","Sim","CX Hub — ID: UMD-178","","","Concluído","","Configuração","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-016.md"
"D-2025-017","cambos","UMD-189","Incluir Campo QM na Integração","casa-cliente","07/08/2025","Concluída","Sim","CX Hub — ID: UMD-189","Tech","Suporte Tech","Concluído","","Integração","Laura Delgado","Marina Santoro","","RFI-2025-001","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-017.md"
"D-2025-018","cambos","UMD-193","Possibilidade de Trazer o Lote na Impressão de Aprovação","casa-cliente","14/08/2025","Concluída","Sim","CX Hub — ID: UMD-193","Operação","Produto | Inovação","Backlog","","Produto","Laura Delgado","","Aguardando Decisão","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-018.md"
"D-2025-019","cambos","UMD-194","Playbook da regra de negocio e adaptação dentro da uMode","casa-cliente","14/08/2025","Concluída","Sim","CX Hub — ID: UMD-194","Operação","Operação | KA","Em Progresso","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-019.md"
"D-2025-020","cambos","UMD-208","Weekly Cambos - Ordenar os produtos tanto no Mapa quanto no Workflow","casa-cliente","29/08/2025","Concluída","Sim","CX Hub — ID: UMD-208","Operação","Produto | Inovação","Backlog","","Produto","Laura Delgado","","Aguardando Decisão","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-020.md"
"D-2025-021","cambos","UMD-354","Erro ao criar produto pelo MIX","casa-cliente","05/09/2025","Concluída","Sim","CX Hub — ID: UMD-354","Tech","Suporte Tech","Concluído","","Bug","Laura Delgado","Laura Delgado, Andrea Holmer","Outra — valor legado do Notion: ""Aguardando Recurso Especial""","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-021.md"
"D-2025-022","cambos","UMD-367","Fornecedor Automático - Trazer com Status Piloto","casa-cliente","05/09/2025","Concluída","Sim","CX Hub — ID: UMD-367","Operação","Sem Área","Concluído","Média","Configuração","Laura Delgado","Laura Delgado","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-022.md"
"D-2025-023","cambos","UMD-353","Erro de Impressão na aprovação/Produto","casa-cliente","05/09/2025","Concluída","Sim","CX Hub — ID: UMD-353","Operação","Sem Área","Concluído","","Bug","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-023.md"
"D-2025-024","cambos","UMD-431","Exclusão de Variantes","casa-cliente","16/09/2025","Concluída","Sim","CX Hub — ID: UMD-431","Operação","Sem Área","Concluído","","Suporte","Pedro Murillo","Laura Delgado","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-024.md"
"D-2025-025","cambos","UMD-423","Ação com o WorkFlow","casa-cliente","16/09/2025","Concluída","Sim","CX Hub — ID: UMD-423","","","Backlog","","Configuração","Laura Delgado","","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-025.md"
"D-2025-026","cambos","UMD-455","Desejo de buscar na lupa pelo Ref. Cliente","casa-cliente","19/09/2025","Concluída","Sim","CX Hub — ID: UMD-455","Operação","Produto | Inovação","Backlog","","Produto","Laura Delgado","Laura Delgado, Andrea Holmer","Aguardando Decisão","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-026.md"
"D-2025-027","cambos","UMD-530","Criar Aba Comercial","casa-cliente","23/09/2025","Concluída","Sim","CX Hub — ID: UMD-530","Operação","Operação | KA","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-027.md"
"D-2025-028","cambos","UMD-529","Ajustar o Perfil Comercial Cambos","casa-cliente","23/09/2025","Concluída","Sim","CX Hub — ID: UMD-529","Operação","Sem Área","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer, Williem Berg Oliveira","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-028.md"
"D-2025-029","cambos","UMD-678","Erro ao gerar o código da Umode para o Spi","casa-cliente","15/10/2025","Concluída","Sim","CX Hub — ID: UMD-678","Operação","Operação | KA","Concluído","Alta","Bug","Andrea Holmer","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-029.md"
"D-2025-030","cambos","UMD-724","Ajuste Perfil e Permissionamento - Time Comercial","casa-cliente","28/10/2025","Concluída","Sim","CX Hub — ID: UMD-724","Operação","Sem Área","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-030.md"
"D-2025-031","cambos","UMD-810","E-mail de notificação de tarefa Duplicado","casa-cliente","14/11/2025","Concluída","Sim","CX Hub — ID: UMD-810","Operação","Sem Área","Concluído","","Bug","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-031.md"
"D-2025-032","cambos","UMD-809","Ajustar o Campo Detalhe - Está vindo preenchido (BUG)","casa-cliente","17/11/2025","Concluída","Sim","CX Hub — ID: UMD-809","Operação","Sem Área","Concluído","","Bug","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-032.md"
"D-2025-033","cambos","UMD-812","Ajuste no Perfil Comercial","casa-cliente","18/11/2025","Concluída","Sim","CX Hub — ID: UMD-812","Operação","Sem Área","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-033.md"
"D-2025-034","cambos","UMD-811","Ajustes conforme agenda de dúvidas do Comercial","casa-cliente","18/11/2025","Concluída","Sim","CX Hub — ID: UMD-811","Operação","Operação | KA","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-034.md"
"D-2025-035","cambos","UMD-856","Erro no preenchimento da Aprovação","casa-cliente","28/11/2025","Concluída","Sim","CX Hub — ID: UMD-856","Operação","Sem Área","Concluído","","Bug","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-035.md"
"D-2025-036","cambos","UMD-858","Card duplicado no WF","casa-cliente","02/12/2025","Concluída","Sim","CX Hub — ID: UMD-858","Operação","Sem Área","Concluído","","Bug","Andrea Holmer","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2025-036.md"
"D-2026-001","cambos","UMD-896","Regras + Possível importação dos produtos originais","casa-cliente","05/01/2026","Concluída","Sim","CX Hub — ID: UMD-896","Operação","Operação | KA","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2026-001.md"
"D-2026-002","cambos","UMD-44","Definir perfil de usuario","casa-cliente","12/01/2026","Concluída","Sim","CX Hub — ID: UMD-44","Operação","Operação | KA","Concluído","","Configuração","Marina Santoro","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2026-002.md"
"D-2026-003","cambos","UMD-1003","Informação digitada no campo Obs. está apagando","casa-cliente","23/02/2026","Concluída","Sim","CX Hub — ID: UMD-1003","Operação","Sem Área","Concluído","","Configuração","Andrea Holmer","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2026-003.md"
"D-2026-004","cambos","UMD-1069","Erro ao Anexar Vídeo","casa-cliente","09/03/2026","Concluída","Sim","CX Hub — ID: UMD-1069","Operação","Sem Área","Concluído","","Bug","Andrea Holmer","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2026-004.md"
"D-2026-005","cambos","UMD-1066","Erro ao Criar Etapa no WF","casa-cliente","09/03/2026","Concluída","Sim","CX Hub — ID: UMD-1066","Operação","Sem Área","Concluído","","Configuração","Andrea Holmer","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2026-005.md"
"D-2026-006","cambos","UMD-1094","Ajuste de ordem de campo na ficha","casa-cliente","13/03/2026","Concluída","Sim","CX Hub — ID: UMD-1094","Operação","Operação | KA","Concluído","","Suporte","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Cambos/00_Institucional/_demandas/D-2026-006.md"
