Nome,Cobrada?,Cobrado,Criado em,Data Aceite do Cliente,Data Liberação RFI,Data Planejada de Execução,Demanda relacionada,Horas Estimadas,Horas Trabalhadas,ID,Key Account,Motivo do Cancelamento,Responsável pela RFI,Resumo Assunto,Status,Task (Linear),Valor Calculado,Valor Negociado com Cliente,criado por,👥 Clientes,🤿 Demandas de Clientes
Reservado - Colmeia,🎁,,16 de setembro de 2025 12:21,,16 de setembro de 2025,,Colmeia,80,,16,,,Andre,Anexo Escopo Técnico do Produto,RFI Cancelada,,"R$ 24.000,00",,Andre,Colmeia (https://app.notion.com/p/Colmeia-51b75c831bf4478bb07c9097f7401e3d?pvs=21),
NV | RFI : Escopo - Aperto de Botões,,,17 de setembro de 2025 15:15,,8 de dezembro de 2025,,NV,24,,18,Fernanda,,Marina Santoro,Aperto de botões,RFI Q&A Negócios,https://linear.app/umode/project/nv-integracao-de-escrita-3c68afaa6768,"R$ 7.200,00",R$ 3.816,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),"Integração - Aperto ""botão” Linx - Escopo 2025 (https://app.notion.com/p/Integra-o-Aperto-bot-o-Linx-Escopo-2025-2b0b1d38e768802897b0c504e0ca554c?pvs=21)"
NK STORE | RFI : Escopo - Alteração Integração (Parte 2),🎁,,17 de setembro de 2025 15:37,,18 de setembro de 2025,,NK STORE,8,,19,Julianne,,Marina Santoro,Complemento dos ajustes de integração,RFI Post Mortem,https://linear.app/umode/project/nk-integracao-de-escrita-4ef61ef1b5e2,"R$ 2.400,00",R$ 2.400,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),
BAW | RFI : Escopo - Ajustes Integração,,,18 de setembro de 2025 15:56,18 de setembro de 2025,18 de setembro de 2025,,Baw,1,,20,,,Marina Santoro,Ajustes integração,RFI Entregue ao Cliente,,"R$ 300,00",,Marina Santoro,Baw (https://app.notion.com/p/Baw-6c36c6a40d904f2fb65ebc1f09933ad4?pvs=21),
Lofty | RFI : Escopo - Integração de Imagens de MP,,,29 de outubro de 2025 16:49,,29 de outubro de 2025,,Lofty Style,,,21,Laura,,Marina Santoro,Integração de Imagens de MP - do Linx para uMode,RFI Stand By,,"R$ 0,00",,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
Lofty | RFI : Escopo - Integração de Imagens de Produto,,,29 de outubro de 2025 16:49,,29 de outubro de 2025,,Lofty Style,,,22,Laura,,Marina Santoro,Integração de Imagens de Produto - da uMode para Linx,RFI Stand By,,"R$ 0,00",,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
Puket | RFI : Escopo - Lista de Entregáveis,,,10 de novembro de 2025 15:54,,,,Puket,,,24,,Cliente não quis mais sabendo que poderia haver cobrança. Definiram processo interno de pessoas chave que podem forçar integração fora da janela habitual.,Marina Santoro,Alterar janela de integração,RFI Cancelada,,"R$ 0,00",,Marina Santoro,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),
NV | RFI : Escopo - Alteração Integração,,,21 de novembro de 2025 10:50,,22 de dezembro de 2025,,NV,24,,25,,,Marina Santoro,Ajustes integração (status atual e filtro em mp),RFI Entregue ao Cliente,,"R$ 7.200,00",R$ 3.816,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),
NV | RFI : Escopo - Integração de MP,,,21 de novembro de 2025 11:23,,5 de janeiro de 2026,,NV,52,,26,Fernanda,@Marina Santoro imagens devem ser destacadas desta RFI.,Marina Santoro,Integração de MP,RFI Em Andamento,https://linear.app/umode/project/nv-integracao-de-escrita-de-materiais-9c3f25405cf5,"R$ 15.600,00",R$ 8.268,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),
Lofty | RFI : Escopo - Alteração Integração,,,25 de novembro de 2025 11:44,,15 de dezembro de 2025,,Lofty Style,16,,28,,,Marina Santoro,Ajustes integração: varia custo cor e fator de conversão,RFI Entregue ao Cliente,,"R$ 4.800,00",R$ 2.544,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
NK STORE | RFI : Escopo - Alteração Integração (Parte 3),🎁,,25 de novembro de 2025 11:45,,10 de dezembro de 2025,,NK STORE,8,,29,Julianne,,Marina Santoro,Ajustes integração,RFI Post Mortem,https://linear.app/umode/project/nk-integracao-de-escrita-4ef61ef1b5e2,"R$ 2.400,00",R$ 2.400,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),Inclusão de propriedade Linx na integração de escrita (https://app.notion.com/p/Inclus-o-de-propriedade-Linx-na-integra-o-de-escrita-31ab1d38e768805d8900c90cf5b35211?pvs=21)
Puket | RFI: Escopo - Macroplan 2,💰,Sim,28 de novembro de 2025 08:56,,,,Puket,6,12,31,,,Ju Ferré,Macroplan 2,RFI Entregue ao Cliente,,"R$ 1.800,00",R$ 1.500,Ju Ferré,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),2º Macroplan Catálogo para ATP (Aqui tem Puket) (https://app.notion.com/p/2-Macroplan-Cat-logo-para-ATP-Aqui-tem-Puket-223b1d38e76880dfb1f5d150a5dc9490?pvs=21)
"NK Store | RFI: Escopo - Macroplan 2 ",,,28 de novembro de 2025 11:58,,,,NK STORE,10,,32,Julianne,,Ju Ferré,Macroplan 2,RFI Q&A Negócios,,"R$ 3.000,00",,Ju Ferré,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),
Lofty | RFI : Escopo - Integração de Imagens de Produtos (Armário 1),,,4 de dezembro de 2025 11:36,,4 de dezembro de 2025,,Lofty Style,,,33,Laura,"Cancelado por falta de atualização no assunto. Se for relevante, criamos uma nova demanda.",Marina Santoro,"Integração de Imagens de Produtos (Armário 1) - do Linx para uMode ",RFI Cancelada,,"R$ 0,00",,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
NV | RFI : Escopo - Integração de Imagem de MP,,,9 de dezembro de 2025 10:42,,5 de janeiro de 2026,,NV,52,,34,Fernanda,@Marina Santoro imagens devem ser destacadas desta RFI.,Marina Santoro,Integração de Imagem de MP,RFI Stand By,,"R$ 15.600,00",R$ 8.268,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),
Lenny | RFI : Escopo - Alteração Integração,,,15 de dezembro de 2025 14:46,,5 de fevereiro de 2026,,Lenny Niemeyer,18,,36,,,Marina Santoro,Alteração regra de negócios de integração de leitura e escrita,RFI Cancelada,https://linear.app/umode/project/lenny-alteracao-de-regra-de-negocio-rfi-36-9ffc076a60e5,"R$ 5.400,00",R$ 2.862,Marina Santoro,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21),
NV | RFI : Escopo - Relatório de Tarefas,💰,Sim,2 de janeiro de 2026 15:11,5 de dezembro de 2025,2 de janeiro de 2026,,NV,52,,78,Fernanda,,Marina Santoro,Relatório de Tarefas (Padrão),RFI Entregue ao Cliente,-,"R$ 15.600,00",,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),📄 Relatório Gestão de Tarefas (https://app.notion.com/p/Relat-rio-Gest-o-de-Tarefas-276b1d38e7688037b2e8e6612aad9d60?pvs=21)
"VIX | RFI : Escopo - Lista de Entregáveis ",,,8 de janeiro de 2026 14:27,,8 de janeiro de 2026,,VIX,4,,39,Julianne,,Andre,Inclusão de Campo em View pré-existente,RFI Post Mortem,https://linear.app/umode/project/vix-inclusao-de-campo-em-view-rfi-39-86da71a391fa,"R$ 1.200,00",R$ 636,Andre,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
NV | RFI : Escopo - Alteração API,,,9 de janeiro de 2026 10:18,,7 de janeiro de 2026,,NV,12,,42,,,Andre,Adição/ Ajuste de Campos em RFI anteriormente aprovada (OS 118),RFI Entregue ao Cliente,,"R$ 3.600,00",R$ 1.908,Andre,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),
CAEDU | RFI : Escopo - Inclusão de Campo na Ficha e Integração,,,15 de janeiro de 2026 14:52,,15 de janeiro de 2026,,Caedu,,,44,,,Marina Santoro,Inclusão de campo na ficha e integração,RFI Entregue ao Cliente,,"R$ 0,00",,Pedro Murillo,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21),
VIX | RFI : Escopo - Nova Aposta,,,19 de janeiro de 2026 13:39,,15 de janeiro de 2026,,VIX,,,47,,,Andre,uPick 04/03,RFI Entregue ao Cliente,-,"R$ 0,00",Escopo,Ju Ferré,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
Puket | RFI : Escopo - Campos E-com,,,19 de janeiro de 2026 13:51,,24 de abril de 2026,,Puket,8,,48,Julianne,,Julianne Rodrigues,Campos Ecommerce e Integração,RFI Post Mortem,https://cxhub.umode.tech/demands/f2839f59-184e-4a3a-9ec8-6e39ddc5e8aa,"R$ 2.400,00",,Ju Ferré,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),Criar campos obrigatórios ecommerce + validação + integração  (https://app.notion.com/p/Criar-campos-obrigat-rios-ecommerce-valida-o-integra-o-2e2b1d38e76880e29943e661ca43b9c6?pvs=21)
OFICINA| RFI : Integração Materiais,,,20 de janeiro de 2026 12:23,,,,Oficina Reserva,,,49,,"Alinhado entre Marina e Victor o procedimento da demanda: confirmar com cliente data de atualização do material, reativar manualmente na uMode e integrar novamente para atualizar",Andre,Mudança Processo,RFI Cancelada,,"R$ 0,00",,Victor Aragão,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21),
BAW| RFI : Integração Materiais,,,22 de janeiro de 2026 09:50,,,,Baw,,,50,,Alinhado entre Marina e Victor o procedimento da demanda: confirmar com cliente data de atualização do material e integrar novamente como novo,Andre,Mudança Processo,RFI Cancelada,,"R$ 0,00",,Victor Aragão,Baw (https://app.notion.com/p/Baw-6c36c6a40d904f2fb65ebc1f09933ad4?pvs=21),
Lofty | RFI: Escopo - Alteração de Regra para Custos de Variante,🎁,,26 de janeiro de 2026 14:56,,5 de fevereiro de 2026,,Lofty Style,20,,51,Laura,,Marina Santoro,"Alteração de Regra para Custos de Variante ",RFI Post Mortem,https://linear.app/umode/project/lofty-alteracao-de-regra-de-negocio-rfi-51-e13eff795d68,"R$ 6.000,00",R$ 2.544,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
Lofty | RFI : Escopo - Intervalo de Integração,,,5 de fevereiro de 2026 09:31,,4 de fevereiro de 2026,,Lofty Style,,,52,,,Marina Santoro,Aumentar intervalo de funcionamento da integração de escrita,RFI Não Aceita,,"R$ 0,00",,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
"PUKET | RFI : Escopo - Lista de Entregáveis ",🎁,Não,5 de fevereiro de 2026 11:40,,5 de fevereiro de 2026,,Puket,8,,56,Julianne,,Marina Santoro,Conexão SMB,RFI Post Mortem,https://linear.app/umode/project/modularizacao-conexao-smb-efce18af5999,"R$ 2.400,00",R$ 1.272,Andre,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),
Cambos | RFI : Escopo - Relatório de Tarefas,🚫,Não,6 de fevereiro de 2026 09:23,,6 de fevereiro de 2026,,Cambos,,,57,Laura,,Marina Santoro,Relatório de Tarefas (Padrão),RFI Entregue ao Cliente,,"R$ 0,00",,Marina Santoro,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21),Relatório Tarefas (https://app.notion.com/p/Relat-rio-Tarefas-239b1d38e7688090b75ac3e9625ec863?pvs=21)
Baw | RFI : Escopo - Relatório de Gestão de Coleção,🎁,,6 de fevereiro de 2026 09:25,,6 de fevereiro de 2026,,Baw,,,58,,,Marina Santoro,Relatório de Gestão de Coleção (Padrão),RFI Entregue ao Cliente,,"R$ 0,00",,Marina Santoro,Baw (https://app.notion.com/p/Baw-6c36c6a40d904f2fb65ebc1f09933ad4?pvs=21),Relatório de Gestão de Coleção BAW (https://app.notion.com/p/Relat-rio-de-Gest-o-de-Cole-o-BAW-2fbb1d38e76880878415efcb943b7083?pvs=21)
Lofty | RFI: Escopo - Ajuste do Empenho em Massa,,,6 de fevereiro de 2026 10:51,,6 de fevereiro de 2026,,Lofty Style,6,1,61,Laura,"Cancelado por falta de atualização no assunto. Se for relevante, criamos uma nova demanda.",Laura Delgado,Alterar a informação que está zerada no empenho de materiais para não se aplica.,RFI Cancelada,Aguardando,"R$ 1.800,00",R$ 954,Laura Delgado,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
Lofty | RFI: Escopo - Revisão Fator de Conversão,,,6 de fevereiro de 2026 17:27,,19 de fevereiro de 2026,,Lofty Style,16,1,62,Laura,"Cancelado por falta de atualização no assunto. Se for relevante, criamos uma nova demanda.",Laura Delgado,Rever Fator de Conversão,RFI Cancelada,Aguardando,"R$ 4.800,00",R$ 2.544,Marina Santoro,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
NK STORE | RFI : Escopo - Inclusão de Campo em View,🎁,,10 de fevereiro de 2026 13:57,,10 de fevereiro de 2026,,NK STORE,4,,63,Julianne,,Julianne Rodrigues,Inclusão de Campo em View,RFI Em Andamento,https://linear.app/umode/project/nk-inclusao-de-campo-em-view-rfi-63-c2896cc5d933/overview,"R$ 1.200,00",R$ 1.200,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),Acrescentar campos na view (https://app.notion.com/p/Acrescentar-campos-na-view-2f4b1d38e7688086809bebc3f4db5e61?pvs=21)
Lenny | RFI : Escopo - Relatório de Auditoria de Integração,🎁,Não,11 de fevereiro de 2026 12:12,,11 de fevereiro de 2026,,Lenny Niemeyer,,,64,Julianne,,Marina Santoro,Relatório de Auditoria de Integração,RFI Post Mortem,,"R$ 0,00",,Marina Santoro,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21),
"CAEDU | RFI : Escopo - Alteração Griffe, Linha, Grupo/Subgrupo nos Produtos",💰,Sim,13 de fevereiro de 2026 13:32,,11 de agosto de 2025,,Caedu,36,,65,Julianne,,"Ju Ferré, Julianne Rodrigues, Victor Aragão",Atualização de Produtos,RFI Post Mortem,"https://linear.app/umode/project/atualizacao-de-produtos-via-script-caedu-e8e6e0a6cfda

https://linear.app/umode/project/atualizacao-de-produtos-via-script-caedu-parte-2-60560da2ecfd","R$ 10.800,00",R$ 4.800,Ju Ferré,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21),Atualizar produtos (https://app.notion.com/p/Atualizar-produtos-303b1d38e768808bb021ec9c009eed9e?pvs=21)
NK STORE | RFI : Escopo - Alteração Integração (parte 4),🎁,,19 de fevereiro de 2026 13:44,,19 de fevereiro de 2026,,NK STORE,6,,66,Julianne,,Marina Santoro,Alteração de Regra,RFI Post Mortem,https://linear.app/umode/project/nk-integracao-de-escrita-4ef61ef1b5e2,"R$ 1.800,00",R$ 1.800,Andre,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),Insert e update dos campos COD_CATEGORIA e PERIODO_PCP no Linx (https://app.notion.com/p/Insert-e-update-dos-campos-COD_CATEGORIA-e-PERIODO_PCP-no-Linx-31ab1d38e76880678aa3e78e675c1bdd?pvs=21)
Lenny | RFI : Escopo - Relatório de Gestão de Coleção,🚫,Não,19 de fevereiro de 2026 15:41,,19 de fevereiro de 2026,,Lenny Niemeyer,,,67,,,Marina Santoro,Relatório de Gestão de Coleção (Padrão),RFI Cancelada,,"R$ 0,00",,Marina Santoro,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21),
NV | RFI : Escopo - Alteração Integração (flag varia preço cor),,,23 de fevereiro de 2026 14:48,,23 de fevereiro de 2026,,NV,9,,68,Fernanda,,Marina Santoro,Flag varia preço cor,RFI Em Andamento,https://linear.app/umode/project/nv-integracao-de-escrita-0c679fa39665,"R$ 2.700,00",R$ 1.431,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),Integração flag VARIA PREÇO COR (https://app.notion.com/p/Integra-o-flag-VARIA-PRE-O-COR-276b1d38e76880d38cabcca20e7346b2?pvs=21)
"NK STORE | RFI : Escopo - Alteração Integração (Parte 2 - Mensageria) ",,,24 de fevereiro de 2026 11:54,,18 de setembro de 2025,,NK STORE,,,69,,,Marina Santoro,"Complemento dos ajustes de integração ",RFI Não Aceita,,"R$ 0,00",,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),
NV | RFI : Escopo - Custo de MP SA e pré custo,,,25 de fevereiro de 2026 14:54,,25 de fevereiro de 2026,,NV,16,,71,Fernanda,,Marina Santoro,Custo de MP semiacabada/beneficia e relatório de pré custo,RFI Não iniciada,Refinar,"R$ 4.800,00",R$ 2.544,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),
uMode | RFI : Escopo - Compilar Alertas de Integração,,,3 de março de 2026 14:54,,3 de março de 2026,,,,,72,,,Marina Santoro,Compilar Alertas de Integração,RFI Entregue ao Cliente,https://linear.app/umode/project/indicadores-de-qualidade-b6d50234a615,"R$ 0,00",,Marina Santoro,,
NV | RFI : Escopo - Inclusão de campos em dataclass 7 e 10,,,4 de março de 2026 10:57,,4 de março de 2026,,NV,2,,73,Fernanda,,Marina Santoro,Tech: Inclusão de campos na dataclass 7 e 10,RFI Post Mortem,https://linear.app/umode/project/nv-api-inclusao-de-campos-em-dataclass-7-e-10-rfi73-352dc2cf705a/overview,"R$ 600,00",R$ 600,Marina Santoro,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21),2 - Inclusão dos campos/dados do Ateliê na API (https://app.notion.com/p/2-Inclus-o-dos-campos-dados-do-Ateli-na-API-336b1d38e7688016a0ccc90f866cda87?pvs=21)
LUIZA BARCELOS | RFI : Novo ajuste no Mapa de Linha,,,4 de março de 2026 15:56,,,,Luiza Barcelos,10,,75,,,"Laura Delgado, Andrea Holmer",Macroplan,RFI Não iniciada,https://cxhub.umode.tech/demands/165013ad-b7f9-4d0a-a6fd-1196fded90bb,"R$ 3.000,00",,Laura Delgado,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21),Ajuste da regra de ordenação do Mapa de Impressão de Linha  (https://app.notion.com/p/Ajuste-da-regra-de-ordena-o-do-Mapa-de-Impress-o-de-Linha-299b1d38e768806bbef5f81218f60828?pvs=21)
BAW | RFI : Escopo - Exportação de Tabelas de Medidas para o Excel,💰,,9 de março de 2026 17:01,,9 de março de 2026,,Baw,3,,76,,,"Andrea Holmer, Laura Delgado",Ops,RFI Cancelada,-,"R$ 900,00",R$ 900,Andrea Holmer,Baw (https://app.notion.com/p/Baw-6c36c6a40d904f2fb65ebc1f09933ad4?pvs=21),
Lofty/NK/Geral | RFI : Escopo - Custo dinamico,,,17 de março de 2026 16:27,,,,"uMode,Lofty Style",56,,79,"Fernanda, Julianne, Laura",,,Tech: Rever regra de empenho sobre custo da mp,RFI Em Andamento,-,"R$ 16.800,00",,Marina Santoro,"uMode (https://app.notion.com/p/uMode-d777c7bd6bee41afa8c767bcdeb1eeed?pvs=21), Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)",
VIX | RFI: Escopo - Mudança no Código de Barras,🚫,Não,24 de março de 2026 10:25,19 de maio de 2026,18 de maio de 2026,25 de maio de 2026 → 27 de maio de 2026,VIX,18,,80,Julianne,,Julianne Rodrigues,Mudança no Código de Barras,RFI Post Mortem,https://cxhub.umode.tech/demands/577765b5-a638-421c-9c5d-cc4a90098a56,"R$ 5.400,00",5.400,Marina Santoro,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),Inclusão de campos na integração (https://app.notion.com/p/Inclus-o-de-campos-na-integra-o-322b1d38e76880d3945ad2010a5e9f4e?pvs=21)
Lofty | RFI : Escopo - Inativar Variantes Canceladas,,,24 de março de 2026 22:40,,,4 de maio de 2026 → 29 de maio de 2026,Lofty Style,24,,81,Laura,"Cancelado por falta de atualização no assunto. Se for relevante, criamos uma nova demanda.",Laura Delgado,Tech: Mudança de Regra - Inativar Variantes Canceladas,RFI Cancelada,Aguardando,"R$ 7.200,00",R$ 7.200,Andrea Holmer,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
Lofty | RFI : Escopo - Macroplan,,,30 de março de 2026 12:34,,,,Lofty Style,10,,82,Laura,,Laura Delgado,"Config de Macroplan ",RFI Liberada para Comercial negociar com Cliente,,"R$ 3.000,00",,Andrea Holmer,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21),
VIX | RFI: Escopo - Alteração Configuração Homologada,🎁,,1 de abril de 2026 15:22,27 de março de 2026,24 de abril de 2026,,VIX,52,,83,Julianne,,Marina Santoro,Tech: SMB Integração de Imagens,RFI Entregue ao Cliente,https://linear.app/umode/project/vix-integr-escrita-integracao-de-imagem-smb-26bee6529c34/overview,"R$ 15.600,00",,Marina Santoro,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
VIX | RFI: Escopo - Alteração Senha da Integração,🎁,,1 de abril de 2026 15:24,1 de abril de 2026,,,VIX,"1,5",,85,Julianne,,Marina Santoro,Bloqueio de usuario uMode na integração,RFI Entregue ao Cliente,-,"R$ 450,00",R$450,Marina Santoro,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
